,Topic,Count,Name
290,291,15,291_chinese military_artificial intelligence_huawei employee_asian review
289,59,15,59_space force_space command_space capability_space exploration
288,161,15,161_nielsen leave_nielsen resignation_dhs secretary_head dhs
287,340,15,340_moscow mitch_vladimir putin_mitch mcconnell_senate intelligence
311,293,14,293_google ad_sue google_tech company_accuse google
310,170,14,170_armenian genocide_turkish government_ottoman empire_tayyip erdogan
309,12,14,12_moore win_trump jr_lose senate_sunset judge
308,174,14,174_al shabaab_amnesty international_airstrike somalia_somali government
307,76,14,76_video nation_start watch_select tv_nation subscription
306,253,14,253_tax evasion_sex tape_corruption charge_indictment corruption
305,158,14,158_nazi germany_immigrant rapist_version hitler_hitler mussolini
304,34,14,34_nike decision_nfl quarterback_nike pull_sneaker feature
303,243,14,243_taylor swift_marsha blackburn_phil bredesen_veil message
302,238,14,238_mar lago_chinese woman_yujing zhang_woman arrest
327,151,13,151_johnny bobbitt_gofundme scam_homeless man_bobbitt mcclure
326,172,13,172_driver license_illegal immigrant_allow illegal_license illegal
325,273,13,273_marianne williamson_anti science_spiritual guru_power mind
324,260,13,260_aguilera mederos_interstate 70_lazaro aguilera_truck driver
323,27,13,27_victim compensation_compensation fund_911 victim_tax bill
322,309,13,309_biloxi police_patrolman mckeithen_biloxi patrolman_capital murder
321,351,13,351_cnn lemon_lemon cuomo_lemon cnn_lemon ask
320,246,13,246_bahena rivera_illegal alien_poweshiek county_brooklyn iowa
319,352,13,352_eric trump_red hen_phil rucker_party preach
317,250,13,250_joe scarborough_msnbc morning_mika brzezinski_wife mika
316,154,13,154_north carolina_county jail_detainer administrative_ice detainer
315,236,13,236_gun owner_capacity magazine_ammunition magazine_buy ammunition
314,113,13,113_white kia_consider pardon_trump consider_trump pardon
313,115,13,115_kim jong_jong un_kim putin_leader kim
312,135,13,135_vaccine exemption_exemption vaccine_medical exemption_exemption child
318,316,13,316_crystal lake_aj freund_andrew aj_family service
337,141,12,141_speed rail_bullet train_congestion tax_california high
344,101,12,101_fuel economy_clean car_california air_fuel efficiency
343,173,12,173_drink toilet_woman cell_officer woman_sexually threaten
342,310,12,310_memphis police_fugitive task_regional fugitive_shelby county
341,144,12,144_justin fairfax_sexual assault_virginia lt_governor fairfax
340,296,12,296_google employee_inside company_employee google_sideshow circus
339,242,12,242_foreign worker_visa worker_servant class_minimum wage
338,74,12,74_tiger wood_wood presidential_trump tiger_wood choice
336,130,12,130_korean embassy_kim jong_embassy madrid_spanish judge
335,80,12,80_michael brown_brown murder_ferguson missouri_murder white
334,214,12,214_ackerman mcqueen_wayne lapierre_nra board_oliver north
333,72,12,72_bull run_run bull_miami beach_san fermin
332,255,12,255_stormy daniels_television lawyer_daniels real_star stormy
331,267,12,267_john mccain_trump visit_mccain sight_president visit
330,348,12,348_charlesmblow july_blow charlesmblow_charles be_folk hero
329,359,12,359_meadow racist_trump racist_racist act_meadow nc
328,37,12,37_burly politic_simple unadorned_country marvelous_unadorned love
354,258,11,258_luke perry_love island_massive stroke_father fred
361,46,11,46_steve king_rape incest_product rape_incest population
360,335,11,335_gutfeld yes_yes williams_williams gutfeld_perino gutfeld
359,64,11,64_pledge allegiance_louis park_allegiance meet_recite pledge
358,285,11,285_sarah jeong_jeong sarahjeong_24 2014_racial purity
